route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,wheelchair_accessible,bikes_allowed
9041,16,92_WKD,9999999,EAST TRANSFER,0,East Transfer,193133,55293,P16E,D,19620,1,1
9028,02,92_WKD,1007843,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194263,55156,2S,W,20100,1,1
9028,02,92_WKD,1007844,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194056,55154,2F,W,21600,1,1
9028,02,92_WKD,1007499,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194052,55156,2S,D,23400,1,1
9028,02,92_WKD,1007497,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194058,55154,2F,D,25200,1,1
9028,02,92_WKD,1007481,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,192750,55156,2S,D,27000,1,1
9028,02,92_WKD,1007496,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194057,55154,2F,D,28800,1,1
9028,02,92_WKD,1007480,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194051,55156,2S,D,30600,1,1
9028,02,92_WKD,1007495,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194056,55154,2F,D,32400,1,1
9028,02,92_WKD,1007479,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194052,55156,2S,D,34200,1,1
9028,02,92_WKD,1007494,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194058,55154,2F,D,36000,1,1
9028,02,92_WKD,1007478,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,192750,55156,2S,D,37800,1,1
9028,02,92_WKD,1007493,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194057,55154,2F,D,39600,1,1
9028,02,92_WKD,1007477,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194051,55156,2S,D,41400,1,1
9028,02,92_WKD,1007492,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194056,55154,2F,D,43200,1,1
9028,02,92_WKD,1007476,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194052,55156,2S,D,45000,1,1
9028,02,92_WKD,1007491,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194058,55154,2F,D,46800,1,1
9028,02,92_WKD,1007475,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,192750,55156,2S,D,48600,1,1
9028,02,92_WKD,1007490,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194057,55154,2F,D,50400,1,1
9028,02,92_WKD,1007474,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194051,55156,2S,D,52200,1,1
9028,02,92_WKD,1007489,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194054,55154,2F,D,54000,1,1
9028,02,92_WKD,1007473,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,194049,55156,2S,D,55800,1,1
9028,02,92_WKD,1007488,NORTH TRANSFER: VIA FORDEM,0,North Transfer,194053,55154,2F,D,57600,1,1
9028,02,92_WKD,1007472,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,192741,55156,2S,D,59400,1,1
